Image;Emotion;Trajectory
excitement_0219;P;<692.0,1521.0,0.0>,<690.9508,1487.4255,17.0>,<692.52106,1428.3396,26.0>,<700.4456,1334.212,37.0>,<720.4146,1226.5734,48.0>,<755.12286,1126.5511,59.0>,<780.171,1076.3967,71.0>,<782.0,1073.0,72.0>,<782.0,1073.0,77.0>,
disgust_0757;N;<661.0,1578.0,0.0>,<654.0,1548.0,33.0>,<651.0,1480.6166,47.0>,<652.1794,1408.363,59.0>,<668.3392,1338.3381,70.0>,<693.0182,1247.1705,81.0>,<711.9986,1185.0043,92.0>,<734.312,1131.0411,103.0>,<761.4188,1085.3431,114.0>,<785.29254,1049.3927,125.0>,<806.4756,1022.87683,136.0>,<823.27057,1005.07056,147.0>,<835.0,997.0,155.0>,<835.0,997.0,160.0>,
excitement_0214;P;<694.0,1643.0,0.0>,<691.0,1638.0,44.0>,<679.9576,1611.5908,59.0>,<669.1532,1564.9191,70.0>,<661.44965,1496.3186,82.0>,<661.76447,1413.5994,93.0>,<673.6154,1315.1614,104.0>,<705.76996,1205.6901,115.0>,<741.1917,1125.4146,126.0>,<776.04205,1061.6791,137.0>,<804.84625,1020.6389,148.0>,<823.32526,995.39246,159.0>,<835.4953,980.2539,171.0>,<844.222,971.7781,182.0>,<850.4825,968.2588,193.0>,<855.5107,966.4894,204.0>,<859.4873,963.25635,215.0>,<864.5225,961.0,226.0>,<867.0,960.0,234.0>,<867.0,960.0,239.0>,
fear_0917;N;<632.0,1652.0,0.0>,<619.0,1620.0,41.0>,<611.1219,1594.7849,48.0>,<601.122,1543.2589,59.0>,<598.29926,1483.2686,70.0>,<606.75525,1396.7891,81.0>,<621.07324,1320.6338,92.0>,<634.979,1261.951,104.0>,<655.706,1201.5527,115.0>,<681.672,1154.4757,126.0>,<701.29565,1122.3947,137.0>,<713.9402,1101.7076,148.0>,<725.2131,1085.5017,159.0>,<737.4863,1072.3516,170.0>,<753.052,1054.948,181.0>,<769.5736,1039.998,192.0>,<786.0097,1027.2427,204.0>,<799.9494,1016.17896,215.0>,<814.282,1010.1649,226.0>,<817.0,1009.0,228.0>,<817.0,1009.0,233.0>,
fear_0673;N;<653.0,1642.0,0.0>,<651.0,1634.0,72.0>,<646.64294,1604.1434,87.0>,<642.6024,1556.7354,99.0>,<640.0,1496.914,110.0>,<642.39886,1436.3173,121.0>,<647.76965,1375.2275,132.0>,<657.466,1317.2039,143.0>,<670.75946,1274.9623,154.0>,<681.4293,1244.712,165.0>,<690.72394,1219.509,176.0>,<699.0455,1199.1818,188.0>,<706.72406,1180.1898,199.0>,<714.674,1160.3151,210.0>,<724.0318,1140.9523,221.0>,<734.39734,1125.2438,232.0>,<742.6883,1112.9677,243.0>,<748.33563,1101.6609,254.0>,<752.6733,1091.6335,266.0>,<756.3496,1083.3008,277.0>,<759.335,1074.6625,288.0>,<762.67126,1067.3151,299.0>,<767.3316,1061.0026,310.0>,<774.01904,1054.6539,321.0>,<781.7138,1050.3215,332.0>,<783.0,1050.0,334.0>,<783.0,1050.0,340.0>,
amusement_0528;P;<638.0,1646.0,0.0>,<632.0,1623.0,41.0>,<623.0,1579.5,53.0>,<619.55066,1509.2382,67.0>,<622.4096,1447.1025,78.0>,<632.2085,1369.0475,89.0>,<644.1786,1304.8927,100.0>,<659.4738,1256.5785,111.0>,<679.3175,1212.6956,122.0>,<693.94244,1178.8298,134.0>,<708.89655,1136.276,145.0>,<724.4189,1099.7643,156.0>,<745.62634,1069.4983,167.0>,<762.3491,1049.4083,178.0>,<776.3856,1033.6144,189.0>,<787.0758,1020.9242,200.0>,<797.0875,1012.53,211.0>,<806.8539,1004.7169,222.0>,<814.8426,996.5432,234.0>,<821.686,989.31396,245.0>,<827.81537,984.3949,256.0>,<834.95795,983.59155,267.0>,<837.0,984.0,269.0>,<837.0,984.0,274.0>,
amusement_0540;P;<638.0,1657.0,0.0>,<633.0,1630.0,60.0>,<625.8375,1578.669,67.0>,<625.0,1490.447,78.0>,<635.1509,1363.5771,89.0>,<667.9266,1236.9342,100.0>,<717.176,1130.0334,111.0>,<735.0,1100.0,119.0>,<735.0,1100.0,124.0>,
fear_0908;N;<603.0,1571.0,0.0>,<604.0,1528.0,33.0>,<615.57654,1404.3732,48.0>,<634.0126,1288.5284,59.0>,<668.24927,1202.6517,70.0>,<717.2209,1112.2985,81.0>,<753.77765,1066.8463,92.0>,<758.0,1061.0,94.0>,<758.0,1061.0,100.0>,
excitement_0231;P;<643.0,1749.0,0.0>,<633.0,1718.0,32.0>,<620.42596,1682.5648,44.0>,<605.7233,1636.4678,55.0>,<596.22986,1587.3793,66.0>,<592.93274,1551.4618,77.0>,<592.0,1508.2598,88.0>,<591.31775,1474.7195,99.0>,<593.6772,1436.8107,110.0>,<603.3029,1401.1095,122.0>,<612.65826,1362.3732,133.0>,<620.57324,1321.1338,144.0>,<629.5775,1274.1794,155.0>,<640.1694,1228.7871,166.0>,<651.37366,1185.63,177.0>,<670.3217,1147.7393,188.0>,<685.2314,1118.5372,199.0>,<698.2469,1094.5062,210.0>,<710.50543,1071.5734,222.0>,<723.0344,1053.3892,233.0>,<736.45386,1037.3949,244.0>,<748.43475,1023.5652,255.0>,<758.5691,1011.9171,266.0>,<767.8225,1001.74194,277.0>,<775.6802,993.75977,288.0>,<782.6851,988.3148,299.0>,<788.1163,983.8838,310.0>,<792.11017,980.44495,322.0>,<793.54846,976.9031,333.0>,<793.22504,975.2251,344.0>,<793.0,977.0,352.0>,<793.0,977.0,357.0>,
awe_0874;P;<654.0,1623.0,0.0>,<653.0,1617.0,82.0>,<650.31195,1603.8075,92.0>,<646.63916,1584.5154,103.0>,<641.64984,1560.224,114.0>,<637.6647,1531.985,125.0>,<635.353,1500.0013,136.0>,<634.0,1466.1178,147.0>,<634.0,1431.2054,158.0>,<637.2894,1390.4609,170.0>,<642.9045,1351.5731,181.0>,<649.5164,1317.3052,192.0>,<658.6916,1283.5404,203.0>,<671.32306,1247.8835,214.0>,<683.6718,1212.9846,225.0>,<695.0856,1179.1262,236.0>,<704.9781,1148.6614,247.0>,<715.49786,1120.4213,258.0>,<726.48364,1094.0327,270.0>,<740.08936,1072.1581,281.0>,<751.8969,1054.365,292.0>,<762.88635,1040.5364,303.0>,<772.8451,1030.1549,314.0>,<781.81335,1020.18665,325.0>,<791.2395,1009.7605,336.0>,<799.0,1006.0,344.0>,<799.0,1006.0,350.0>,
awe_0059;P;<642.0,1637.0,0.0>,<641.0,1633.0,97.0>,<638.336,1616.3518,112.0>,<633.34344,1597.0304,123.0>,<629.3525,1569.2867,135.0>,<629.0,1533.6248,146.0>,<630.63214,1488.8292,157.0>,<632.2309,1435.7676,168.0>,<636.1023,1391.8318,179.0>,<640.85065,1350.0455,190.0>,<648.43604,1305.3837,201.0>,<659.5873,1262.6403,212.0>,<675.3147,1225.9612,223.0>,<690.0717,1193.6932,235.0>,<702.43335,1163.4166,246.0>,<714.4395,1134.4011,257.0>,<728.96265,1106.0747,268.0>,<744.4689,1080.8553,279.0>,<758.80444,1061.6521,290.0>,<770.77747,1047.2225,301.0>,<780.16125,1036.2985,312.0>,<788.1251,1027.3435,323.0>,<795.58746,1019.8833,335.0>,<802.6266,1013.3734,346.0>,<808.56195,1007.95874,357.0>,<814.5669,1005.47766,368.0>,<819.5151,1002.96985,379.0>,<822.5173,997.96545,390.0>,<826.00525,994.50256,401.0>,<827.0,995.0,404.0>,<827.0,995.0,409.0>,
awe_0844;P;<626.0,1665.0,0.0>,<622.0,1653.0,72.0>,<615.197,1619.1823,82.0>,<607.9024,1568.8207,93.0>,<603.6217,1510.6361,104.0>,<602.6743,1440.375,115.0>,<614.373,1362.8065,126.0>,<625.35645,1313.2316,137.0>,<634.6482,1273.421,148.0>,<643.269,1237.5392,159.0>,<651.59344,1207.9229,170.0>,<660.1711,1181.7552,182.0>,<670.19165,1157.9784,193.0>,<679.5011,1139.3726,204.0>,<686.214,1124.751,215.0>,<690.58923,1114.054,226.0>,<691.5847,1104.0763,237.0>,<693.5694,1097.8612,248.0>,<696.57245,1093.8551,259.0>,<698.5668,1090.8665,270.0>,<700.5676,1087.8647,282.0>,<702.56067,1085.4393,293.0>,<704.56476,1083.4353,304.0>,<707.10986,1082.4451,315.0>,<712.1414,1082.0,326.0>,<713.0,1082.0,328.0>,<713.0,1082.0,334.0>,
fear_0946;N;<652.0,1656.0,0.0>,<649.0,1646.0,49.0>,<643.5953,1623.381,64.0>,<637.16583,1596.4548,75.0>,<631.9163,1569.498,86.0>,<625.92914,1533.2653,97.0>,<623.0,1503.8634,109.0>,<624.67285,1478.9445,120.0>,<625.0,1457.5393,131.0>,<628.3273,1433.3727,142.0>,<630.3165,1409.1008,153.0>,<633.6661,1386.0074,164.0>,<636.29767,1359.9163,175.0>,<640.9602,1333.5057,186.0>,<645.29425,1311.2346,197.0>,<649.2551,1289.0968,209.0>,<654.89825,1268.0397,220.0>,<663.1124,1247.1527,231.0>,<674.7478,1221.2551,242.0>,<686.6574,1192.8566,253.0>,<697.65704,1163.4668,264.0>,<708.03357,1136.1127,275.0>,<719.0027,1112.9946,286.0>,<730.5929,1092.6107,297.0>,<742.53015,1073.7048,309.0>,<754.5026,1057.3298,320.0>,<765.48987,1042.3468,331.0>,<775.85297,1028.0059,342.0>,<784.8644,1015.56274,353.0>,<794.2847,1006.71533,364.0>,<802.6853,997.7529,375.0>,<808.6864,989.75146,386.0>,<813.1139,983.3292,397.0>,<817.10596,978.89404,409.0>,<821.09735,974.9026,420.0>,<823.4999,970.00024,431.0>,<826.01385,964.9862,442.0>,<828.5114,961.4885,453.0>,<830.5021,959.4979,464.0>,<832.49286,957.5071,475.0>,<833.49365,955.50635,486.0>,<835.0,953.51025,497.0>,<836.484,951.516,509.0>,<838.47174,950.0,520.0>,<840.43365,948.5664,531.0>,<841.0,948.53284,542.0>,<842.44885,948.0,553.0>,<843.23047,948.0,564.0>,<844.4511,948.0,575.0>,<846.0,946.547,586.0>,<847.0,948.0,595.0>,<847.0,948.0,600.0>,
fear_0922;N;<649.0,1645.0,0.0>,<646.0,1636.0,56.0>,<642.6081,1626.0404,63.0>,<637.36206,1605.8735,74.0>,<633.92194,1589.3805,85.0>,<630.62103,1565.0367,96.0>,<628.32965,1539.6155,107.0>,<626.3201,1512.4816,119.0>,<626.0,1483.2239,130.0>,<625.0,1451.4622,141.0>,<626.0,1418.0149,152.0>,<627.6377,1384.1588,163.0>,<631.26746,1351.2264,174.0>,<635.23145,1319.764,185.0>,<640.8385,1290.8076,196.0>,<649.0164,1261.554,207.0>,<661.6435,1232.4984,219.0>,<672.98395,1205.2417,230.0>,<681.3555,1179.3445,241.0>,<688.3314,1154.0057,252.0>,<696.8866,1129.0723,263.0>,<706.821,1105.7938,274.0>,<717.3878,1083.3536,285.0>,<729.3457,1064.5391,296.0>,<739.7651,1050.1289,307.0>,<748.21045,1037.6843,319.0>,<754.63043,1027.2826,330.0>,<760.59186,1018.87756,341.0>,<766.5772,1011.42285,352.0>,<771.55225,1005.44775,363.0>,<776.03845,999.96155,374.0>,<780.521,994.98596,385.0>,<785.01074,991.4839,396.0>,<787.5053,985.9894,407.0>,<790.49365,982.50635,419.0>,<792.49133,979.50867,430.0>,<794.48645,978.51355,441.0>,<795.5,977.5,446.0>,<796.0,980.0,466.0>,<796.0,980.0,471.0>,
anger_0807;N;<681.0,1659.0,0.0>,<668.0,1620.0,33.0>,<657.6346,1582.0264,45.0>,<647.069,1523.1241,56.0>,<642.32996,1454.5494,67.0>,<645.0103,1386.8866,78.0>,<661.4005,1321.9572,89.0>,<683.83777,1259.5657,100.0>,<709.875,1192.4712,112.0>,<738.1478,1132.8848,123.0>,<759.39343,1096.8873,134.0>,<771.42926,1071.4556,145.0>,<780.05237,1053.527,156.0>,<787.0618,1040.8763,167.0>,<793.71405,1029.6074,178.0>,<800.0771,1019.5381,190.0>,<807.70435,1011.29565,201.0>,<815.02606,1003.2986,212.0>,<821.6725,996.3319,223.0>,<827.0,995.0,230.0>,<827.0,995.0,236.0>,
